Province,Stunting Rate (%),Wasting Rate (%),Underweight Rate (%)
Kigali City,14.0625,1.171875,5.6640625
Eastern,24.651162790697676,1.7674418604651163,7.162790697674419
Northern,30.261348005502064,2.4759284731774414,5.502063273727647
Southern,25.829959514170042,2.0242914979757085,9.230769230769232
Western,33.61994840928632,1.8916595012897677,8.25451418744626
