Region,Stunting Rate,Wasting Rate,Underweight Rate,Level
Kigali City,14.0625,1.171875,5.6640625,Province
Eastern,24.651162790697676,1.7674418604651163,7.162790697674419,Province
Northern,30.261348005502064,2.4759284731774414,5.502063273727647,Province
Southern,25.829959514170042,2.0242914979757085,9.230769230769232,Province
Western,33.61994840928632,1.8916595012897677,8.25451418744626,Province
Bugesera,23.684210526315788,2.631578947368421,9.868421052631579,District
Burera,38.46153846153847,6.41025641025641,5.769230769230769,District
Gakenke,33.33333333333333,0.8333333333333334,8.333333333333332,District
Gasabo,17.159763313609467,1.7751479289940828,7.6923076923076925,District
Gatsibo,27.167630057803464,1.1560693641618496,8.670520231213873,District
Gicumbi,22.0125786163522,0.628930817610063,1.257861635220126,District
Gisagara,30.67484662576687,1.8404907975460123,10.429447852760736,District
Huye,17.333333333333336,2.0,8.0,District
Kamonyi,28.767123287671232,1.36986301369863,10.95890410958904,District
Karongi,27.95031055900621,3.1055900621118013,10.559006211180124,District
Kayonza,19.594594594594593,2.027027027027027,6.081081081081082,District
Kicukiro,10.497237569060774,0.5524861878453038,2.7624309392265194,District
Kirehe,26.451612903225808,3.225806451612903,6.451612903225806,District
Muhanga,19.875776397515526,2.484472049689441,8.695652173913043,District
Musanze,29.13907284768212,1.3245033112582782,6.622516556291391,District
Ngoma,32.37410071942446,0.0,10.071942446043165,District
Ngororero,32.70440251572327,1.8867924528301887,6.289308176100629,District
Nyabihu,44.13793103448276,0.6896551724137931,10.344827586206897,District
Nyagatare,25.862068965517242,1.7241379310344827,5.747126436781609,District
Nyamagabe,28.104575163398692,3.9215686274509802,11.76470588235294,District
Nyamasheke,24.2603550295858,1.183431952662722,8.284023668639055,District
Nyanza,25.190839694656486,1.5267175572519083,6.870229007633588,District
Nyarugenge,14.814814814814813,1.2345679012345678,6.790123456790123,District
Nyaruguru,32.758620689655174,1.7241379310344827,11.494252873563218,District
Rubavu,38.421052631578945,2.631578947368421,6.315789473684211,District
Ruhango,22.929936305732486,1.2738853503184715,5.095541401273886,District
Rulindo,29.078014184397162,2.8368794326241136,6.382978723404255,District
Rusizi,31.891891891891895,2.1621621621621623,6.486486486486487,District
Rutsiro,37.01298701298701,1.2987012987012987,10.38961038961039,District
Rwamagana,16.417910447761194,1.4925373134328357,2.9850746268656714,District
