Model,Accuracy,AUC Score,Precision,Recall,F1-Score
XGBoost,0.8726554787759131,0.9639579731347253,0.8957466197340005,0.8726554787759131,0.8769506376802204
Logistic Regression,0.6811451135241856,0.7649050975623658,0.7508369614366056,0.6811451135241856,0.6959188960511988
LightGBM,0.8627838104639685,0.9510145726065395,0.8870826537664019,0.8627838104639685,0.8674787171245418
CatBoost,0.8173741362290227,0.919233180704121,0.857930575366439,0.8173741362290227,0.8248657881936118
